method,Ih,II,III,IV,VI,VII,VIII,IX,XI,XIII,XIV,XV,XVII
PBE-D3atm,-70.3900,-67.7500,-67.9400,-65.1500,-65.4100,-59.7600,-60.9000,-68.3800,-70.8700,-67.0700,-66.3700,-65.2500,-69.4200
PBE-D3,-70.8000,-68.3700,-68.4700,-65.8200,-66.1700,-60.6600,-61.7900,-68.9700,-71.2900,-67.7600,-67.1100,-66.0000,-69.7500
PBE,-62.2300,-55.5400,-57.8500,-52.8500,-51.5800,-43.7900,-45.0500,-57.5600,-62.6000,-54.5400,-53.2400,-51.5600,-61.5200
HF-D4,-42.8900,-46.5000,-41.7000,-42.9200,-45.6900,-46.3100,-47.9900,-44.3600,-42.1800,-45.1400,-45.4700,-46.0800,-41.8200
HF-D3(BJ)atm,-50.5300,-53.5700,-49.3600,-50.0400,-53.0300,-53.7000,-55.1500,-51.5800,-49.9700,-52.2800,-52.7700,-53.2500,-49.5300
HF-D3(BJ),-50.9400,-54.2000,-49.9000,-50.7000,-53.7900,-54.6000,-56.0300,-52.1600,-50.3900,-52.9700,-53.5000,-54.0000,-49.8600
HF-D3atm,-39.0700,-44.9400,-38.6500,-41.3200,-44.8800,-47.3000,-49.0900,-41.8800,-38.2700,-43.5800,-44.1400,-45.3100,-38.0100
HF-D3,-39.4900,-45.5700,-39.1900,-41.9900,-45.6400,-48.2000,-49.9700,-42.4700,-38.6900,-44.2700,-44.8800,-46.0600,-38.3400
HF,-26.5700,-25.5300,-23.3800,-22.0100,-22.5800,-19.5400,-21.5700,-25.4200,-25.6200,-24.0600,-23.4700,-23.2900,-25.7300
LDA,-100.0800,-94.3700,-95.9200,-90.9400,-91.0300,-83.7800,-84.6600,-95.3700,-101.2200,-93.0400,-91.9900,-90.3200,-99.6700
