case,group,periodicity,L_angstrom,cp2k_energy_Eh,cli_energy_Eh,cp2k_cli_absdiff_Eh,cp2k_cli_gradient_sumdiff_Eh_per_bohr,cp2k_cli_gradient_maxdiff_Eh_per_bohr,scf_steps_cp2k,delta_E_vs_matching_0D_Eh,delta_E_vs_matching_0D_kJ_per_mol,max_component_gradient_delta_vs_matching_0D_Eh_per_bohr,max_component_force_delta_vs_matching_0D_eV_per_angstrom,rms_component_gradient_delta_vs_matching_0D_Eh_per_bohr,current_minus_archived_cli_energy_Eh,max_current_minus_archived_cli_gradient_Eh_per_bohr
H2O_L80,main,3D,80.0,-76.43249901070477,-76.43249900995114,7.536300472566e-10,8.514209842378e-08,2.131473077205e-08,11,3.1365042758579875e-06,0.008234890845492311,9.463653701156927e-06,0.00048664063919322774,5.127745037551104e-06,0.0,0.0
H2O_L100,main,3D,100.0,-76.43249887564777,-76.43249887489412,7.536442581113e-10,8.514394090524e-08,2.131508246295e-08,11,3.2715612974243413e-06,0.008589483006924001,9.461264517611478e-06,0.00048651778243574044,5.067091700429174e-06,0.0,0.0
H2O_L150,main,3D,150.0,-76.43249877614274,-76.43249877538909,7.536442581113e-10,8.514528216723e-08,2.131533743954e-08,11,3.3710663274177932e-06,0.008850733427298247,9.459641979431277e-06,0.00048643434816795524,5.0241494368056555e-06,0.0,0.0
H2O_L200,main,3D,200.0,-76.43249875228274,-76.43249875152908,7.53658468966e-10,8.514565276549e-08,2.131541913808e-08,11,3.3949263382737627e-06,0.008913377877198581,9.459509952375322e-06,0.00048642755906377525,5.014417367175486e-06,0.0,0.0
H2O_tight_0D,tight,0D,,-76.43250214720892,-76.43250214645543,7.534879387094e-10,1.834098961133e-08,5.036523573199e-09,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H2O_tight_L40,tight,3D,40.0,-76.4325021764569,-76.43250217570336,7.535305712736e-10,1.834202556954e-08,5.036841457806e-09,12,-2.9247928523545852e-08,-7.679042579410352e-05,1.0352379476760709e-05,0.0005323407559942525,6.150115191941371e-06,0.0,0.0
H2O_tight_L100,tight,3D,100.0,-76.43249887564777,-76.43249887489412,7.536442581113e-10,1.834188716371e-08,5.03678039554e-09,12,3.271561311635196e-06,0.008589483044234595,9.461367991507597e-06,0.00048652310327740864,5.067144713330591e-06,0.0,0.0
H2O_tight_L200,tight,3D,200.0,-76.43249875228274,-76.43249875152911,7.536300472566e-10,1.834187866134e-08,5.036776454248e-09,12,3.394926324062908e-06,0.008913377839887987,9.459612905923787e-06,0.00048643285314809126,5.01447017521442e-06,0.0,0.0
H2O_shift_0D,shift,0D,,-76.43250214720892,-76.43250214645542,7.535021495642e-10,1.834099135867e-08,5.036523864632e-09,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H2O_shift_L40,shift,3D,40.0,-76.4325021764569,-76.43250217570338,7.535163604189e-10,1.834202581574e-08,5.03684174924e-09,12,-2.9247956945255282e-08,-7.679050041529139e-05,1.0352379476982754e-05,0.0005323407560056705,6.150115191901567e-06,0.0,0.0
H2O_shift_L100,shift,3D,100.0,-76.43249887564777,-76.43249887489412,7.536442581113e-10,1.834189226036e-08,5.036781630663e-09,12,3.2715612974243413e-06,0.008589483006924001,9.461367991951686e-06,0.00048652310330024465,5.067144713659632e-06,0.0,0.0
H2O_shift_L200,shift,3D,200.0,-76.43249875228274,-76.43249875152911,7.536300472566e-10,1.834187948926e-08,5.036776704048e-09,12,3.3949263098520532e-06,0.008913377802577394,9.459612905729498e-06,0.00048643285313810055,5.014470175154162e-06,0.0,0.0
